order_date,product,category,region,channel,sales_rep,units,unit_price,discount,revenue
2025-01-18,Cobalt Mouse,Accessories,South,Online,J. Okafor,1,59.0,0,67.85
2025-01-18,Vertex Monitor 27,Displays,North,Online,J. Okafor,5,379.0,0.05,2070.29
2025-01-18,Pulse Headphones,Audio,South,Partner,K. Tanaka,1,249.0,0,199.2
2025-01-18,Aurora Laptop 14,Laptops,West,Online,M. Silva,5,1299.0,0,7469.25
2025-01-18,Nimbus Tablet Mini,Tablets,South,Online,J. Okafor,7,429.0,0.15,2935.43
2025-01-19,Pulse Earbuds,Audio,East,Online,L. Dubois,6,129.0,0.15,756.58
2025-01-19,Vertex Monitor 27,Displays,East,Online,M. Silva,4,379.0,0,1743.4
2025-01-19,Nimbus Tablet 11,Tablets,East,Online,M. Silva,6,649.0,0.15,3806.38
2025-01-19,Vertex Monitor 27,Displays,North,Retail,J. Okafor,7,379.0,0.1,2148.93
2025-01-19,Pulse Headphones,Audio,North,Partner,J. Okafor,2,249.0,0.1,358.56
2025-01-20,Vertex Monitor 27,Displays,North,Partner,L. Dubois,9,379.0,0,2728.8
2025-01-20,Pulse Earbuds,Audio,North,Partner,K. Tanaka,11,129.0,0.15,964.92
2025-01-20,Pulse Earbuds,Audio,West,Partner,L. Dubois,3,129.0,0,309.6
2025-01-20,Nimbus Tablet 11,Tablets,South,Retail,J. Okafor,3,649.0,0.15,1489.46
2025-01-21,Cobalt Mouse,Accessories,East,Retail,A. Rahman,3,59.0,0.1,143.37
2025-01-21,Pulse Headphones,Audio,East,Online,M. Silva,2,249.0,0.15,486.79
2025-01-21,Vertex Monitor 32,Displays,West,Retail,J. Okafor,7,549.0,0.15,2939.89
2025-01-21,Cobalt Keyboard,Accessories,West,Partner,L. Dubois,6,89.0,0.1,384.48
2025-01-21,Pulse Earbuds,Audio,North,Online,M. Silva,8,129.0,0.15,1008.78
2025-01-21,Nimbus Tablet Mini,Tablets,South,Online,L. Dubois,6,429.0,0.05,2812.09
2025-01-22,Vertex Monitor 32,Displays,West,Partner,J. Okafor,6,549.0,0.1,2371.68
2025-01-22,Vertex Monitor 27,Displays,West,Retail,A. Rahman,5,379.0,0,1705.5
2025-01-23,Nimbus Tablet Mini,Tablets,South,Partner,K. Tanaka,8,429.0,0.1,2471.04
2025-01-23,Aurora Laptop 14,Laptops,South,Online,L. Dubois,1,1299.0,0.15,1269.77
2025-01-23,Cobalt Keyboard,Accessories,East,Retail,L. Dubois,7,89.0,0.1,504.63
2025-01-23,Vertex Monitor 27,Displays,West,Online,J. Okafor,5,379.0,0,2179.25
2025-01-23,Pulse Headphones,Audio,West,Partner,M. Silva,2,249.0,0,398.4
2025-01-24,Aurora Laptop 16,Laptops,East,Online,A. Rahman,5,1699.0,0.1,8792.32
2025-01-24,Nimbus Tablet 11,Tablets,South,Online,J. Okafor,7,649.0,0.05,4963.23
2025-01-24,Nimbus Tablet Mini,Tablets,North,Retail,A. Rahman,3,429.0,0.05,1100.38
2025-01-24,Nimbus Tablet Mini,Tablets,West,Retail,A. Rahman,7,429.0,0.1,2432.43
2025-01-24,Cobalt Mouse,Accessories,West,Retail,K. Tanaka,8,59.0,0.05,403.56
2025-01-25,Cobalt Keyboard,Accessories,South,Retail,M. Silva,3,89.0,0,240.3
2025-01-25,Vertex Monitor 27,Displays,West,Online,J. Okafor,1,379.0,0.05,414.06
2025-01-25,Vertex Monitor 32,Displays,South,Partner,A. Rahman,5,549.0,0.1,1976.4
2025-01-25,Vertex Monitor 27,Displays,North,Online,J. Okafor,4,379.0,0.05,1656.23
2025-01-25,Aurora Laptop 14,Laptops,East,Retail,J. Okafor,3,1299.0,0,3507.3
2025-01-25,Vertex Monitor 32,Displays,East,Retail,M. Silva,4,549.0,0.05,1877.58
2025-01-26,Vertex Monitor 32,Displays,North,Partner,A. Rahman,2,549.0,0.1,790.56
2025-01-26,Pulse Earbuds,Audio,South,Partner,A. Rahman,7,129.0,0,722.4
2025-01-27,Nimbus Tablet Mini,Tablets,North,Partner,J. Okafor,11,429.0,0,3775.2
2025-01-27,Nimbus Tablet 11,Tablets,West,Partner,M. Silva,10,649.0,0.05,4932.4
2025-01-27,Pulse Earbuds,Audio,South,Partner,A. Rahman,9,129.0,0.1,835.92
2025-01-28,Pulse Headphones,Audio,North,Partner,K. Tanaka,10,249.0,0.15,1693.2
2025-01-28,Vertex Monitor 27,Displays,South,Online,J. Okafor,5,379.0,0.1,1961.32
2025-01-28,Aurora Laptop 16,Laptops,East,Partner,A. Rahman,5,1699.0,0.1,6116.4
2025-01-29,Cobalt Keyboard,Accessories,West,Partner,A. Rahman,4,89.0,0,284.8
2025-01-29,Cobalt Keyboard,Accessories,East,Online,K. Tanaka,9,89.0,0,921.15
2025-01-29,Pulse Earbuds,Audio,West,Partner,K. Tanaka,1,129.0,0,103.2
2025-01-29,Nimbus Tablet 11,Tablets,East,Partner,K. Tanaka,7,649.0,0.05,3452.68
2025-01-30,Cobalt Mouse,Accessories,East,Retail,A. Rahman,2,59.0,0,106.2
2025-01-30,Pulse Headphones,Audio,West,Online,K. Tanaka,5,249.0,0.15,1216.99
2025-01-30,Pulse Earbuds,Audio,North,Retail,J. Okafor,2,129.0,0,232.2
2025-01-30,Vertex Monitor 32,Displays,South,Retail,M. Silva,5,549.0,0.1,2223.45
2025-01-30,Cobalt Keyboard,Accessories,North,Partner,A. Rahman,4,89.0,0,284.8
2025-01-31,Vertex Monitor 27,Displays,West,Partner,K. Tanaka,5,379.0,0.15,1288.6
2025-01-31,Vertex Monitor 32,Displays,North,Online,J. Okafor,1,549.0,0,631.35
2025-01-31,Vertex Monitor 27,Displays,South,Retail,L. Dubois,3,379.0,0.1,920.97
2025-02-01,Vertex Monitor 27,Displays,East,Retail,K. Tanaka,2,379.0,0.15,579.87
2025-02-01,Pulse Headphones,Audio,East,Retail,A. Rahman,4,249.0,0,896.4
2025-02-01,Cobalt Keyboard,Accessories,South,Online,K. Tanaka,6,89.0,0,614.1
2025-02-01,Pulse Headphones,Audio,East,Online,J. Okafor,5,249.0,0,1431.75
2025-02-02,Aurora Laptop 14,Laptops,South,Retail,A. Rahman,2,1299.0,0,2338.2
2025-02-02,Cobalt Keyboard,Accessories,East,Partner,A. Rahman,7,89.0,0.05,473.48
2025-02-02,Aurora Laptop 14,Laptops,East,Retail,K. Tanaka,3,1299.0,0.05,3331.93
2025-02-02,Pulse Earbuds,Audio,South,Online,A. Rahman,3,129.0,0,445.05
2025-02-03,Vertex Monitor 32,Displays,North,Partner,A. Rahman,14,549.0,0.15,5226.48
2025-02-03,Nimbus Tablet 11,Tablets,South,Partner,A. Rahman,6,649.0,0,3115.2
2025-02-03,Cobalt Keyboard,Accessories,West,Partner,L. Dubois,5,89.0,0.1,320.4
2025-02-03,Nimbus Tablet Mini,Tablets,West,Retail,K. Tanaka,7,429.0,0.1,2432.43
2025-02-03,Pulse Headphones,Audio,North,Partner,A. Rahman,5,249.0,0.15,846.6
2025-02-04,Nimbus Tablet Mini,Tablets,East,Partner,A. Rahman,8,429.0,0.1,2471.04
2025-02-04,Nimbus Tablet 11,Tablets,North,Retail,L. Dubois,8,649.0,0.05,4439.16
2025-02-04,Vertex Monitor 32,Displays,East,Online,K. Tanaka,6,549.0,0.15,3219.88
2025-02-05,Nimbus Tablet Mini,Tablets,East,Partner,J. Okafor,11,429.0,0.1,3397.68
2025-02-05,Vertex Monitor 27,Displays,North,Partner,J. Okafor,7,379.0,0,2122.4
2025-02-06,Aurora Laptop 14,Laptops,South,Retail,L. Dubois,6,1299.0,0.1,6313.14
2025-02-06,Pulse Headphones,Audio,West,Online,M. Silva,3,249.0,0.05,816.1
2025-02-07,Cobalt Keyboard,Accessories,West,Retail,L. Dubois,6,89.0,0,480.6
2025-02-07,Aurora Laptop 14,Laptops,West,Partner,J. Okafor,4,1299.0,0,4156.8
2025-02-07,Cobalt Mouse,Accessories,North,Partner,L. Dubois,10,59.0,0,472.0
2025-02-07,Aurora Laptop 14,Laptops,South,Retail,J. Okafor,2,1299.0,0,2338.2
2025-02-07,Cobalt Mouse,Accessories,West,Partner,A. Rahman,5,59.0,0.05,224.2
2025-02-07,Vertex Monitor 32,Displays,East,Retail,M. Silva,3,549.0,0,1482.3
2025-02-08,Vertex Monitor 32,Displays,East,Partner,L. Dubois,7,549.0,0.05,2920.68
2025-02-08,Aurora Laptop 14,Laptops,West,Online,L. Dubois,3,1299.0,0.05,4257.47
2025-02-08,Aurora Laptop 14,Laptops,West,Retail,J. Okafor,5,1299.0,0,5845.5
2025-02-08,Cobalt Keyboard,Accessories,East,Partner,J. Okafor,4,89.0,0,284.8
2025-02-08,Pulse Headphones,Audio,South,Retail,K. Tanaka,1,249.0,0.05,212.89
2025-02-09,Aurora Laptop 14,Laptops,South,Partner,K. Tanaka,4,1299.0,0.1,3741.12
2025-02-09,Aurora Laptop 16,Laptops,South,Online,A. Rahman,5,1699.0,0.05,9280.79
2025-02-10,Vertex Monitor 32,Displays,East,Partner,K. Tanaka,5,549.0,0.05,2086.2
2025-02-10,Nimbus Tablet Mini,Tablets,West,Partner,K. Tanaka,2,429.0,0,686.4
2025-02-10,Nimbus Tablet Mini,Tablets,South,Online,M. Silva,4,429.0,0.05,1874.73
2025-02-11,Pulse Headphones,Audio,North,Retail,M. Silva,14,249.0,0.15,2666.79
2025-02-11,Cobalt Mouse,Accessories,West,Online,L. Dubois,2,59.0,0,135.7
2025-02-11,Cobalt Keyboard,Accessories,West,Retail,J. Okafor,6,89.0,0,480.6
2025-02-11,Nimbus Tablet Mini,Tablets,West,Online,K. Tanaka,7,429.0,0,3453.45
2025-02-11,Vertex Monitor 27,Displays,West,Partner,J. Okafor,3,379.0,0.15,773.16
2025-02-11,Vertex Monitor 32,Displays,North,Online,K. Tanaka,2,549.0,0,1262.7
2025-02-12,Cobalt Keyboard,Accessories,West,Online,J. Okafor,5,89.0,0.15,434.99
2025-02-12,Vertex Monitor 27,Displays,South,Online,L. Dubois,1,379.0,0,435.85
2025-02-13,Aurora Laptop 16,Laptops,East,Partner,K. Tanaka,7,1699.0,0.1,8562.96
2025-02-13,Pulse Earbuds,Audio,West,Partner,M. Silva,6,129.0,0.15,526.32
2025-02-13,Nimbus Tablet Mini,Tablets,North,Retail,A. Rahman,7,429.0,0,2702.7
2025-02-13,Vertex Monitor 32,Displays,South,Partner,A. Rahman,4,549.0,0,1756.8
2025-02-13,Pulse Headphones,Audio,East,Retail,J. Okafor,7,249.0,0.05,1490.26
2025-02-14,Cobalt Keyboard,Accessories,West,Partner,A. Rahman,4,89.0,0,284.8
2025-02-14,Cobalt Mouse,Accessories,West,Partner,J. Okafor,4,59.0,0.15,160.48
2025-02-14,Vertex Monitor 32,Displays,South,Online,A. Rahman,3,549.0,0,1894.05
2025-02-15,Pulse Headphones,Audio,South,Online,M. Silva,3,249.0,0.05,816.1
2025-02-15,Cobalt Mouse,Accessories,East,Partner,M. Silva,7,59.0,0.05,313.88
2025-02-15,Nimbus Tablet Mini,Tablets,West,Retail,J. Okafor,3,429.0,0,1158.3
2025-02-15,Vertex Monitor 27,Displays,East,Partner,K. Tanaka,3,379.0,0,909.6
2025-02-15,Pulse Headphones,Audio,North,Partner,A. Rahman,9,249.0,0.15,1523.88
2025-02-16,Vertex Monitor 32,Displays,East,Online,J. Okafor,2,549.0,0.15,1073.29
2025-02-16,Cobalt Mouse,Accessories,East,Partner,J. Okafor,3,59.0,0.15,120.36
2025-02-16,Aurora Laptop 16,Laptops,North,Retail,J. Okafor,5,1699.0,0,7645.5
2025-02-16,Aurora Laptop 16,Laptops,East,Retail,K. Tanaka,3,1699.0,0.15,3899.2
2025-02-16,Nimbus Tablet 11,Tablets,South,Online,L. Dubois,4,649.0,0,2985.4
2025-02-16,Cobalt Keyboard,Accessories,East,Online,K. Tanaka,1,89.0,0,102.35
2025-02-17,Pulse Earbuds,Audio,North,Retail,K. Tanaka,9,129.0,0,1044.9
2025-02-17,Cobalt Keyboard,Accessories,East,Online,A. Rahman,5,89.0,0.05,486.16
2025-02-17,Pulse Headphones,Audio,North,Retail,L. Dubois,3,249.0,0,672.3
2025-02-17,Vertex Monitor 27,Displays,East,Online,J. Okafor,10,379.0,0.15,3704.72
2025-02-18,Aurora Laptop 14,Laptops,East,Partner,M. Silva,6,1299.0,0.05,5923.44
2025-02-18,Vertex Monitor 27,Displays,North,Online,A. Rahman,8,379.0,0,3486.8
2025-02-18,Pulse Headphones,Audio,West,Online,K. Tanaka,10,249.0,0,2863.5
2025-02-18,Vertex Monitor 32,Displays,East,Partner,L. Dubois,10,549.0,0.15,3733.2
2025-02-18,Vertex Monitor 27,Displays,South,Retail,K. Tanaka,2,379.0,0.1,613.98
2025-02-19,Aurora Laptop 14,Laptops,East,Online,K. Tanaka,1,1299.0,0.05,1419.16
2025-02-19,Nimbus Tablet Mini,Tablets,East,Online,M. Silva,9,429.0,0.15,3774.13
2025-02-19,Aurora Laptop 14,Laptops,West,Retail,A. Rahman,5,1299.0,0,5845.5
2025-02-19,Vertex Monitor 32,Displays,North,Partner,A. Rahman,8,549.0,0,3513.6
2025-02-20,Nimbus Tablet Mini,Tablets,South,Partner,A. Rahman,8,429.0,0,2745.6
2025-02-20,Cobalt Keyboard,Accessories,South,Partner,J. Okafor,6,89.0,0,427.2
2025-02-20,Cobalt Mouse,Accessories,North,Retail,J. Okafor,14,59.0,0,743.4
2025-02-20,Cobalt Keyboard,Accessories,East,Online,A. Rahman,11,89.0,0,1125.85
2025-02-21,Nimbus Tablet Mini,Tablets,East,Online,M. Silva,10,429.0,0,4933.5
2025-02-21,Aurora Laptop 14,Laptops,South,Partner,K. Tanaka,3,1299.0,0,3117.6
2025-02-21,Vertex Monitor 32,Displays,East,Partner,A. Rahman,7,549.0,0.1,2766.96
2025-02-21,Vertex Monitor 32,Displays,South,Partner,L. Dubois,9,549.0,0.15,3359.88
2025-02-22,Vertex Monitor 32,Displays,North,Online,K. Tanaka,6,549.0,0.05,3598.69
2025-02-22,Vertex Monitor 27,Displays,North,Retail,M. Silva,4,379.0,0,1364.4
2025-02-22,Cobalt Mouse,Accessories,South,Online,M. Silva,1,59.0,0,67.85
2025-02-22,Cobalt Mouse,Accessories,East,Retail,L. Dubois,7,59.0,0.05,353.11
2025-02-23,Vertex Monitor 27,Displays,North,Partner,L. Dubois,5,379.0,0,1516.0
2025-02-23,Nimbus Tablet Mini,Tablets,West,Retail,K. Tanaka,5,429.0,0.05,1833.98
2025-02-23,Vertex Monitor 27,Displays,North,Retail,M. Silva,3,379.0,0.05,972.13
2025-02-23,Pulse Headphones,Audio,East,Online,A. Rahman,3,249.0,0,859.05
2025-02-23,Aurora Laptop 16,Laptops,West,Online,M. Silva,1,1699.0,0.15,1660.77
2025-02-23,Nimbus Tablet 11,Tablets,North,Partner,A. Rahman,8,649.0,0.15,3530.56
2025-02-24,Pulse Earbuds,Audio,West,Partner,M. Silva,4,129.0,0,412.8
2025-02-24,Cobalt Mouse,Accessories,East,Retail,K. Tanaka,9,59.0,0,477.9
2025-02-24,Nimbus Tablet Mini,Tablets,North,Retail,M. Silva,10,429.0,0.1,3474.9
2025-02-24,Aurora Laptop 16,Laptops,East,Partner,L. Dubois,6,1699.0,0.1,7339.68
2025-02-24,Cobalt Mouse,Accessories,North,Partner,M. Silva,11,59.0,0.15,441.32
2025-02-25,Nimbus Tablet 11,Tablets,East,Partner,A. Rahman,6,649.0,0,3115.2
2025-02-25,Nimbus Tablet 11,Tablets,South,Partner,K. Tanaka,1,649.0,0.15,441.32
2025-02-26,Nimbus Tablet 11,Tablets,North,Online,K. Tanaka,7,649.0,0.05,4963.23
2025-02-26,Pulse Earbuds,Audio,South,Retail,M. Silva,3,129.0,0,348.3
2025-02-27,Cobalt Mouse,Accessories,North,Online,A. Rahman,11,59.0,0,746.35
2025-02-27,Pulse Headphones,Audio,West,Partner,K. Tanaka,9,249.0,0.05,1703.16
2025-02-27,Cobalt Mouse,Accessories,West,Retail,M. Silva,5,59.0,0,265.5
2025-02-27,Vertex Monitor 27,Displays,North,Retail,L. Dubois,13,379.0,0.15,3769.15
2025-02-27,Vertex Monitor 32,Displays,East,Online,A. Rahman,7,549.0,0,4419.45
2025-02-27,Nimbus Tablet Mini,Tablets,East,Online,M. Silva,15,429.0,0,7400.25
2025-02-28,Pulse Earbuds,Audio,North,Online,K. Tanaka,3,129.0,0,445.05
2025-02-28,Cobalt Keyboard,Accessories,South,Partner,M. Silva,5,89.0,0.1,320.4
2025-02-28,Aurora Laptop 16,Laptops,West,Partner,M. Silva,6,1699.0,0,8155.2
2025-02-28,Cobalt Mouse,Accessories,West,Partner,K. Tanaka,5,59.0,0.05,224.2
2025-03-01,Aurora Laptop 16,Laptops,West,Online,K. Tanaka,5,1699.0,0.1,8792.32
2025-03-01,Pulse Earbuds,Audio,North,Retail,J. Okafor,4,129.0,0,464.4
2025-03-01,Vertex Monitor 27,Displays,West,Partner,M. Silva,7,379.0,0.15,1804.04
2025-03-01,Nimbus Tablet Mini,Tablets,East,Online,L. Dubois,6,429.0,0,2960.1
2025-03-02,Cobalt Keyboard,Accessories,South,Retail,J. Okafor,1,89.0,0.15,68.08
2025-03-02,Nimbus Tablet Mini,Tablets,North,Online,J. Okafor,10,429.0,0,4933.5
2025-03-03,Cobalt Mouse,Accessories,South,Partner,K. Tanaka,10,59.0,0.15,401.2
2025-03-03,Vertex Monitor 32,Displays,West,Partner,L. Dubois,8,549.0,0.1,3162.24
2025-03-03,Pulse Earbuds,Audio,East,Online,M. Silva,3,129.0,0.15,378.29
2025-03-04,Cobalt Mouse,Accessories,North,Retail,A. Rahman,9,59.0,0.1,430.11
2025-03-04,Pulse Headphones,Audio,West,Retail,A. Rahman,8,249.0,0,1792.8
2025-03-04,Aurora Laptop 16,Laptops,West,Retail,L. Dubois,6,1699.0,0.1,8257.14
2025-03-04,Aurora Laptop 14,Laptops,West,Partner,L. Dubois,4,1299.0,0.05,3948.96
2025-03-05,Aurora Laptop 14,Laptops,West,Online,A. Rahman,3,1299.0,0,4481.55
2025-03-05,Cobalt Keyboard,Accessories,South,Online,L. Dubois,5,89.0,0.05,486.16
2025-03-05,Cobalt Keyboard,Accessories,South,Retail,M. Silva,7,89.0,0,560.7
2025-03-06,Vertex Monitor 27,Displays,East,Partner,M. Silva,1,379.0,0.15,257.72
2025-03-06,Aurora Laptop 16,Laptops,East,Online,K. Tanaka,3,1699.0,0.1,5275.39
2025-03-06,Pulse Headphones,Audio,East,Partner,J. Okafor,11,249.0,0.1,1972.08
2025-03-06,Pulse Earbuds,Audio,North,Partner,J. Okafor,1,129.0,0.15,87.72
2025-03-06,Pulse Earbuds,Audio,East,Partner,A. Rahman,5,129.0,0.1,464.4
2025-03-07,Cobalt Keyboard,Accessories,West,Partner,J. Okafor,3,89.0,0,213.6
2025-03-07,Cobalt Keyboard,Accessories,North,Partner,M. Silva,5,89.0,0,356.0
2025-03-07,Pulse Headphones,Audio,South,Online,K. Tanaka,2,249.0,0,572.7
2025-03-07,Nimbus Tablet Mini,Tablets,South,Online,L. Dubois,6,429.0,0,2960.1
2025-03-08,Cobalt Keyboard,Accessories,North,Partner,L. Dubois,7,89.0,0,498.4
2025-03-08,Nimbus Tablet 11,Tablets,West,Online,J. Okafor,5,649.0,0.1,3358.57
2025-03-08,Vertex Monitor 32,Displays,North,Retail,J. Okafor,9,549.0,0,4446.9
2025-03-08,Vertex Monitor 32,Displays,East,Partner,M. Silva,4,549.0,0,1756.8
2025-03-08,Vertex Monitor 32,Displays,South,Retail,L. Dubois,2,549.0,0.15,839.97
2025-03-08,Vertex Monitor 32,Displays,West,Retail,J. Okafor,4,549.0,0.05,1877.58
2025-03-09,Cobalt Mouse,Accessories,South,Retail,K. Tanaka,1,59.0,0,53.1
2025-03-09,Pulse Earbuds,Audio,North,Partner,A. Rahman,8,129.0,0,825.6
2025-03-09,Nimbus Tablet 11,Tablets,East,Retail,J. Okafor,1,649.0,0.1,525.69
2025-03-10,Aurora Laptop 16,Laptops,South,Retail,A. Rahman,9,1699.0,0.05,13073.8
2025-03-10,Vertex Monitor 27,Displays,East,Online,A. Rahman,1,379.0,0.05,414.06
2025-03-10,Pulse Earbuds,Audio,South,Online,M. Silva,4,129.0,0.15,504.39
2025-03-10,Nimbus Tablet 11,Tablets,South,Online,K. Tanaka,6,649.0,0,4478.1
2025-03-10,Nimbus Tablet 11,Tablets,West,Retail,M. Silva,1,649.0,0,584.1
2025-03-11,Nimbus Tablet 11,Tablets,West,Online,J. Okafor,1,649.0,0,746.35
2025-03-11,Pulse Headphones,Audio,North,Online,K. Tanaka,7,249.0,0.1,1804.0
2025-03-11,Aurora Laptop 16,Laptops,North,Retail,L. Dubois,12,1699.0,0.1,16514.28
2025-03-12,Cobalt Keyboard,Accessories,South,Partner,M. Silva,6,89.0,0.1,384.48
2025-03-12,Nimbus Tablet Mini,Tablets,West,Online,A. Rahman,8,429.0,0.15,3354.78
2025-03-13,Pulse Earbuds,Audio,North,Partner,L. Dubois,1,129.0,0.1,92.88
2025-03-13,Aurora Laptop 14,Laptops,West,Retail,K. Tanaka,4,1299.0,0,4676.4
2025-03-13,Pulse Earbuds,Audio,East,Partner,J. Okafor,11,129.0,0,1135.2
2025-03-13,Aurora Laptop 16,Laptops,East,Online,M. Silva,6,1699.0,0,11723.1
2025-03-13,Cobalt Keyboard,Accessories,East,Partner,K. Tanaka,8,89.0,0.05,541.12
2025-03-13,Nimbus Tablet 11,Tablets,South,Online,K. Tanaka,9,649.0,0.15,5709.58
2025-03-14,Pulse Headphones,Audio,South,Online,M. Silva,6,249.0,0,1718.1
